CWE457_Use_of_Uninitialized_Variable_s01

Total files, 979

Files not reported, 506

Total OKs, 391, 39.9387129724208%
Total Fails, 82, 8.3758937691522%

File, Expected Bugs, Found Bugs, Bug was found?
CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_07.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__twointsclass_11.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__twointsclass_array_alloca_no_init_01.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__double_pointer_05.c,Uninitialized argument value,Memory leak;Dereference of undefined pointer value,Fail
CWE457_Use_of_Uninitialized_Variable__twointsclass_array_alloca_no_init_10.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_array_alloca_no_init_04.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__twointsclass_array_alloca_no_init_15.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__twointsclass_array_malloc_no_init_12.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__twointsclass_array_alloca_no_init_17.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int64_t_02.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__long_43.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_array_malloc_no_init_18.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__twointsclass_09.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_pointer_05.c,Uninitialized argument value,Memory leak;Dereference of undefined pointer value,Fail
CWE457_Use_of_Uninitialized_Variable__struct_array_malloc_no_init_10.c,Uninitialized argument value,Uninitialized argument value;Memory leak,OK
CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_13.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__twointsclass_15.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_array_alloca_no_init_08.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__struct_08.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_pointer_07.c,Uninitialized argument value,Dereference of undefined pointer value;Memory leak,Fail
CWE457_Use_of_Uninitialized_Variable__int_array_alloca_no_init_14.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_05.c,Uninitialized argument value,Uninitialized argument value,OK
