CWE369_Divide_by_Zero_s01

Total files, 902

Files not reported, 561

Total OKs, 0, 0%
Total Fails, 341, 37.8048780487805%

File, Expected Bugs, Found Bugs, Bug was found?
CWE369_Divide_by_Zero__int_fgets_divide_32.c,Division by zero,Dead initialization,Fail
CWE369_Divide_by_Zero__int_fgets_modulo_03.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_73a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_73a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_68a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_44.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_01.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_divide_68a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_06.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_73a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_33.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_zero_15.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_74a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_74a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_53a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_modulo_68a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_zero_67a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_modulo_16.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_zero_16.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_65a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_45.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_zero_32.c,Division by zero,Dead initialization,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_21.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_31.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_06.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_72a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_18.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_53a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_82a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_01.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_51a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_06.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_33.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_divide_44.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_54a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_01.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_21.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_68a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_modulo_33.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_54a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_65a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_72a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_66a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_66a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_68a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_52a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_divide_15.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_44.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_zero_33.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_33.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_51a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_41.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_81a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_modulo_32.c,Division by zero,Dead initialization,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_52a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_zero_02.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_66a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_72a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_51a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_21.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_zero_51a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_15.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_modulo_34.c,Division by zero,Dead assignment,Fail
